Quest ID ,Dungeon,Faction,Item ID,Item Name,Item Display ID,Quest Description,Sort ID,Teleport Orb ID,Boss Name,Boss ID,Boss IDX,Boss level,Pool ID,Pool Min,Pool Max,Rep,Difficulty,Reward 1,Reward 2
441212,Deadmines,Alliance,900246,Stabby Patty Secret Formula,,"Howdy there, ya pineapple dweller! Gather ''round and listen close. There''s a tale ''bout a mighty burger called the Stabby Patty, renowned in the Kelp''thar Forest of Vashj''ir. They say it blesses soldiers with the agility of a squirrel, the resilience of a sponge, the smarts of a starfish, and the beauty of a squid, makin'' ''em unstoppable on both land and sea! But here''s the kicker – only Cookie knows how to whip up this magical treat outside of Vashj''ir. Don''t just sit there like plankton, get movin'' to the Deadmines. We can''t let them Horde zugs snatch that recipe first. Go fetch that Stabby Patty Secret Formula before it slips through our fingers! Oh, and afore ya head out, we swiped an orb from them barnacle ridden mages over in the tower – it''ll teleport ya straight to the Deadmines.",1581,900267,Cookie,645,0,21,300006,15,25,469,Normal,900104,900189
441214,Uldaman West,Alliance,900247,,,,,,,,,,300008,36,45,469,Normal,900104,900189
441155,Maraudon Orange,Horde,900219,Razor Petal,7406,"The Horde is in need of champions, and I''ve got a task fit for those who wish to prove their mettle. Deep within the treacherous Maraudon, there lurks a vile creature known as Razorlash, a twisted plant with razor-sharp petals near the cursed orange crystals. Bring me a Razor Petal from its heart, and show me your strength. The Horde welcomes those who can face the perils of the dungeons and emerge victorious. Are you up for the challenge, or will you crumble like the weak?",2100,900255,Razorlash,12258,1,48,300003,46,50,67,Normal,900104,900189
441156,Maraudon Purple,Horde,900220,Carved Horn of Remulos,18072,"The Horde demands more from its champions, and your next test lies in the Poison Falls of Maraudon. Seek out Celebras the Cursed, son of Remulos, within the shadows of the purple crystal-marked entrance. Your target is the Carved Horn of Remulos. Only those who can navigate the dangers and confront Celebras will be deemed worthy. The Horde seeks strength and resilience. Do you possess these qualities, or will you falter in the face of adversity?",2100,900255,Celebras the Cursed,12225,1,49,300003,46,50,67,Normal,900104,900189
441157,Stormwind Stockade,Horde,900221,Prison Wallet,33681,"Mighty adventurer, a crucial task awaits you in the depths of Stormwind Stockades. Confront Bazil Thredd and claim the Prison Wallet from his grasp. This stone possesses the fiery essence needed to aid our zeppelin''s journey to Borean Tundra, where the freezing winds of Northrend threaten to ground us. Our goblin engineers struggle to keep the air hot enough for the zeppelin to stay airborne. Your mission is clear: defeat Jergosh, retrieve the Prison Wallet, and ensure our zeppelin''s success in reaching its destination. As you embark on this quest, remember to utilize the enchanted orb provided. It will transport you swiftly to Stormwind Stockades from anywhere in Azeroth. May your valor light the fires of triumph, champion of the Horde!",2437,900270,Bazil Thredd,1716,2,29,300001,26,35,67,Normal,900104,900189
441158,Shadowfang Keep,Horde,900222,Fangfire Amulet,9852,"Adventurer, a vital mission awaits you within the ominous halls of Shadowfang Keep. Your objective: to secure the Fangfire Amulet from the clutches of Archmage Arugal. This legendary artifact grants unparalleled mastery over wolf-like creatures, enabling the bearer to communicate with and command not only wolves but also other lupine beings such as worgs. With the Fangfire Amulet in our possession, the Horde can forge stronger bonds with these primal allies, creating a formidable wolf pack that defends and assists the denizens of Kalimdor. Waste no time, for the enchanted orb provided shall whisk you away to Shadowfang Keep from any corner of Azeroth. Forge ahead, brave soul, and let the howls of victory echo through the land!",209,900268,Archmage Arugal,4275,1,26,300000,15,25,67,Normal,900104,900189
441159,Razorfen Kraul,Horde,900223,Gauntlets of Growth,6991,"Esteemed adventurer, a crucial mission beckons within the heart of Razorfen Kraul. Your task is to recover the Gauntlets of Growth from Charlga Razorflank, a formidable foe lurking amidst the thorns. These gauntlets bestow upon the wearer the powers of plant growth, a boon that could revolutionize agriculture in Durotar and feed the Horde. Your success will not only secure a powerful artifact but also pave the way for prosperity. Use the enchanted orb provided—it shall transport you swiftly to the depths of Razorfen Kraul from any corner of Azeroth. Go forth with resolve, and may your efforts yield bountiful harvests for our people.",2437,900272,Charlga Razorflank,4421,3,33,300001,26,35,67,Normal,900104,900189
441160,Razorfen Downs,Horde,900224,Frozen Bone,6668,"Mighty adventurer, your next mission awaits in Razorfen Downs. Your objective: retrieve a Frozen Bone from Amnennar the Coldbringer, a powerful Lich dwelling within the depths. The Undercity mages have a keen interest in studying the remains of such a formidable undead being, hoping to gain insights into the process of their creation. Use the enchanted orb provided—it shall swiftly transport you to Razorfen Downs from any part of Azeroth. Forge ahead with determination, and may your journey yield valuable knowledge for the Horde.",2437,900273,Amnennar the Coldbringer,7358,1,41,300002,36,45,67,Normal,900104,900189
441161,Wailing Caverns,Horde,900225,,,,,,,,,,300000,15,25,67,Normal,900104,900189
441162,Ragefire Chasm,Horde,900226,Searing Stone,22952,"Mighty adventurer, a crucial task awaits you in the depths of Ragefire Chasm. Confront Jergosh the Invoker and claim the Searing Stone from his grasp. This stone possesses the fiery essence needed to aid our zeppelin''s journey to Borean Tundra, where the freezing winds of Northrend threaten to ground us. Our goblin engineers struggle to keep the air hot enough for the zeppelin to stay airborne. Your mission is clear: defeat Jergosh, retrieve the Searing Stone, and ensure our zeppelin''s success in reaching its destination. As you embark on this quest, remember to utilize the enchanted orb provided. It will transport you swiftly to Ragefire Chasm from anywhere in Azeroth. May your valor light the fires of triumph, champion of the Horde!",2437,900266,Jergosh the Invoker,11518,0,16,300000,15,25,67,Normal,900104,900189
441163,Gnomeregan,Horde,900227,,,,,,,,,,300001,26,35,67,Normal,900104,900189
441164,Blackfathom Deeps,Horde,900228,Void Pearl,,"Valiant adventurer, a crucial mission awaits you in the dark depths of Blackfathom Depths. Your task is to retrieve the Void Pearl from the clutches of Aku''mai, the ancient horror that lurks within. The Blood Elves have sought our aid in recovering this pearl, as they wish to extract the void energy within and cleanse it. Once a relic used in worship of Elune, this pearl holds great significance to the night elves. By returning the cleansed pearl to them, we show our goodwill. Prepare yourself, for the enchanted orb provided will transport you to Blackfathom Depths from any location in Azeroth. Go forth with courage, and may your actions pave the way for harmony among Kalimdor.",2437,900269,Aku'mai,4829,0,28,300001,26,35,67,Normal,900104,900189
441165,Scarlet Monastery Graveyard,Horde,900229,Bloodfire Amulet,9658,"Adventurer, a vital task awaits you within the grim confines of Scarlet Monastery Graveyard. Your mission is to recover the Bloodfire Amulet from the clutches of Bloodmage Thalnos, a corrupted foe lurking in the shadows. The Blood Elves have beseeched us to reclaim this amulet, intending to restore it to its rightful place in Quel''thalas after purging it of Thalnos''s dark influence. Your success will not only aid our allies but also cleanse a relic of great significance. Ready yourself, for the enchanted orb provided will transport you swiftly to the Scarlet Monastery Graveyard from anywhere in Azeroth. Go forth with determination, and may your actions herald a new dawn of purity and unity among our people.",2437,900259,Bloodmage Thalnos,4543,0,34,300001,26,35,67,Normal,900104,900189
441166,Uldaman East,Horde,900230,,,,,,,,,,300003,46,50,67,Normal,900104,900189
441167,Zul'Farrak,Horde,900231,,,,,,,,,,300003,46,50,67,Normal,900104,900189
441168,Sunken Temple,Horde,900232,Dream Seed,21149,"Rumors have surfaced of a mystical artifact, concealed within the shadows of the Temple of Atal''Hakkar. The Dream Seed, extracted from the heart of the Dreamgrove. It possesses the remarkable ability to breathe life into desolate lands. Guarded by the spectral Shade of Eranikus, this seed signifies Eranikus''s commitment to healing the scars left by Hakkar. Your mission is to recover the Dream Seed from this ethereal guardian. Bring forth the Dream Seed and prove that you are not only a formidable champion but also a bearer of hope for the Horde''s future.",1417,900264,Shade of Eranikus,5709,1,55,300004,51,58,67,Normal,900104,900189
441169,Blackrock Depths Prison,Horde,900233,,,,,,,,,,300004,51,58,67,Normal,900104,900189
441170,Lower Blackrock Spire,Horde,900234,,,,,,,,,,300004,51,58,67,Normal,900104,900189
441171,Dire Maul East,Horde,900235,,,,,,,,,,300004,51,58,67,Normal,900104,900189
441172,Dire Maul West,Horde,900236,,,,,,,,,,300005,59,60,67,Normal,900104,900189
441173,Dire Maul North,Horde,900237,,,,,,,,,,300005,59,60,67,Normal,900104,900189
441174,Stratholme Living,Horde,900238,,,,,,,,,,300005,59,60,67,Normal,900104,900189
441175,Upper Blackrock Spire,Horde,900239,,,,,,,,,,300005,59,60,67,Normal,900104,900189
441176,Scarlet Monastery Armory,Horde,900240,,,,,,,,,,300002,36,45,67,Normal,900104,900189
441177,Scarlet Monastery Cathedral,Horde,900241,,,,,,,,,,300002,36,45,67,Normal,900104,900189
441178,Scarlet Monastery Library,Horde,900242,Arcane Orb of Doan,7041,"Brave adventurer, a crucial mission awaits you within the hallowed halls of the Library in Scarlet Monastery. Your task is to recover the Arcane Orb of Doan from the clutches of Arcanist Doan, a zealot who wields its power unwisely. The mages of Dalaran are concerned about such a potent artifact falling into the wrong hands, and they look to you to secure it. Use the enchanted orb provided—it shall swiftly transport you to the Library from any part of Azeroth. Go forth with courage, and may your actions safeguard the balance of power in the arcane realm.",2437,900259,Arcanist Doan,6487,1,37,300002,36,45,67,Normal,900104,900189
441179,Maraudon Pristine Waters,Horde,900243,Face of Theradras,60006,"The Horde''s path to glory winds deep into Maraudon''s heart, where the Pristine Waters hold the lair of the formidable Princess Theradras. Your mission: slay the princess and bring forth the Face of Theradras as a testament to your might. The Horde seeks champions who can triumph over the most fearsome adversaries. Venture into the waters, face the challenges that await, and emerge victorious with the face of the fallen princess. Will you prove yourself worthy, or will the waters swallow your ambitions?",2100,900255,Princess Theradras,12201,1,51,300004,51,58,67,Normal,900104,900189
441180,Stratholme Undead,Horde,900243,,,,,,,,,,300005,59,60,67,Normal,900104,900189
441181,Blackrock Depths Upper City,Horde,900244,,,,,,,,,,300005,59,60,67,Normal,900104,900189
441182,Scholomance,Horde,900245,,,,,,,,,,300005,59,60,67,Normal,900104,900189
441183,Deadmines,Horde,900246,Stabby Patty Secret Formula,,"Ahoy there, hearty adventurer! A savory quest awaits you in the treacherous Deadmines. Your mission: to plunder the Stabby Patty Secret Formula from none other than Cookie himself. This delectable dish hails from the famed Kelp''thar Forest of Vashj''ir, said to imbue soldiers with the agility of a squirrel, the resilience of a sponge, the intelligence of a starfish, and the beauty of a squid—ensuring victory on both land and sea! Cookie holds the secret to this culinary marvel, making him a target for both the Horde and the Alliance. Don''t dilly-dally like plankton; snatch that recipe before the Alliance''s greedy mitts get to it first! And fear not, for the enchanted orb provided shall whisk you away to the Deadmines from any corner of Azeroth. Set sail, brave soul, and let the aroma of victory guide your way!",1581,900267,Cookie,645,0,21,300000,15,25,67,Normal,900104,900189
441213,Uldaman West,Horde,900247,,,,,,,,,,300002,36,45,67,Normal,900104,900189
441215,Sunken Temple,Alliance,900248,Shirvallah''s Tear,8436,"Howdy there, brave one! Heard tell that them Horde Zugs, led by Zuglord Runthak, are schemin'' to snatch the Dream Seed from the Shade of Eranikus in the Temple of Atal''Hakkar. And get this they''re thinkin'' ''bout startin'' a garden! Can''t let that happen! Head on down, confront the Shade of Eranikus, and bring back that Dream Seed. There''s a reward waitin'' for ya. Let''s stomp out them Horde''s gardening dreams and keep the Dream Seed safe!",1417,900264,Atal''alarion,8580,2,50,3000010,51,58,469,Normal,900104,900189
441216,Sunken Temple,Horde,900248,Shirvallah''s Tear,8436,"Rumors have surfaced of a mystical artifact, concealed within the shadows of the Temple of Atal''Hakkar. The Dream Seed, extracted from the heart of the Dreamgrove. It possesses the remarkable ability to breathe life into desolate lands. Guarded by the spectral Shade of Eranikus, this seed signifies Eranikus''s commitment to healing the scars left by Hakkar. Your mission is to recover the Dream Seed from this ethereal guardian. Bring forth the Dream Seed and prove that you are not only a formidable champion but also a bearer of hope for the Horde''s future.",1417,900264,Atal''alarion,8580,2,50,300004,51,58,67,Normal,900104,900189
